2025-02-27 20:10:57,690 [ERROR]  139 произошла ошибка Expecting value: line 1 column 1 (char 0)
2025-02-27 20:30:54,294 [INFO]  17 Приложение запущено
2025-02-27 20:30:54,634 [INFO]  144 файл успешно прочитан
2025-02-27 20:30:54,634 [INFO]  60 100
2025-02-27 20:33:28,400 [INFO]  17 Приложение запущено
2025-02-27 20:33:28,704 [INFO]  144 файл успешно прочитан
2025-02-27 20:33:28,704 [INFO]  60 100
2025-02-27 20:33:29,708 [INFO]  103 0
2025-02-27 20:33:30,727 [INFO]  103 0
2025-02-27 20:33:31,743 [INFO]  103 0
2025-02-27 20:33:32,759 [INFO]  103 0
2025-02-27 20:33:33,775 [INFO]  103 0
2025-02-27 20:33:34,794 [INFO]  103 0
2025-02-27 20:33:35,807 [INFO]  103 0
2025-02-27 20:33:36,821 [INFO]  103 0
2025-02-27 20:33:37,842 [INFO]  103 0
2025-02-27 20:34:34,936 [INFO]  17 Приложение запущено
2025-02-27 20:34:35,236 [INFO]  144 файл успешно прочитан
2025-02-27 20:34:35,236 [INFO]  60 100
2025-02-27 20:34:36,250 [INFO]  103 0, how
2025-02-27 20:34:37,266 [INFO]  103 0, how
2025-02-27 20:34:38,281 [INFO]  103 0, how
2025-02-27 20:34:39,295 [INFO]  103 0, how
2025-02-27 20:34:40,313 [INFO]  103 0, how
2025-02-27 20:34:41,329 [INFO]  103 0, how
2025-02-27 20:34:42,342 [INFO]  103 0, how
2025-02-27 20:34:43,357 [INFO]  103 0, how
2025-02-27 20:34:44,372 [INFO]  103 0, how
2025-02-27 20:34:45,388 [INFO]  103 0, how
2025-02-27 20:34:46,406 [INFO]  103 0, how
2025-02-27 20:34:47,421 [INFO]  103 0, how
2025-02-27 20:34:48,441 [INFO]  103 0, how
2025-02-27 20:34:49,455 [INFO]  103 0, how
2025-02-27 20:34:50,468 [INFO]  103 0, how
2025-02-27 20:34:51,486 [INFO]  103 0, how
2025-02-27 20:34:52,505 [INFO]  103 0, how
2025-02-27 20:34:53,518 [INFO]  103 0, how
2025-02-27 20:34:54,533 [INFO]  103 0, how
2025-02-27 20:34:55,551 [INFO]  103 0, how
2025-02-27 20:34:56,568 [INFO]  103 0, how
2025-02-27 20:34:57,582 [INFO]  103 0, how
2025-02-27 20:34:58,596 [INFO]  103 0, how
2025-02-27 20:34:59,615 [INFO]  103 0, how
2025-02-27 20:35:00,632 [INFO]  103 0, how
2025-02-27 20:35:01,647 [INFO]  103 0, how
2025-02-27 20:35:02,664 [INFO]  103 0, how
2025-02-27 20:35:03,678 [INFO]  103 0, how
2025-02-27 20:35:04,691 [INFO]  103 0, how
2025-02-27 20:35:05,709 [INFO]  103 0, how
2025-02-27 20:35:06,727 [INFO]  103 0, how
2025-02-27 20:35:07,740 [INFO]  103 0, how
2025-02-27 20:35:08,756 [INFO]  103 0, how
2025-02-27 20:35:09,772 [INFO]  103 0, how
2025-02-27 20:35:10,795 [INFO]  103 0, how
2025-02-27 20:35:12,353 [INFO]  17 Приложение запущено
2025-02-27 20:35:12,705 [INFO]  144 файл успешно прочитан
2025-02-27 20:35:12,705 [INFO]  60 {'click_mob': 0, 'x': 0, 'custom_x': 0, 'key': 0, 'level_upgrade': 0, 'max_money': 0, 'discount_shop': 0, 'money': 100, 'profit': 1}
2025-02-27 20:35:13,708 [INFO]  103 0, how
2025-02-27 20:35:14,725 [INFO]  103 0, how
2025-02-27 20:35:15,741 [INFO]  103 0, how
2025-02-27 20:35:16,755 [INFO]  103 0, how
2025-02-27 20:35:17,783 [INFO]  103 0, how
2025-02-27 20:35:18,804 [INFO]  103 0, how
2025-02-27 20:35:19,820 [INFO]  103 0, how
2025-02-27 20:35:20,838 [INFO]  103 0, how
2025-02-27 20:35:21,853 [INFO]  103 0, how
2025-02-27 20:35:22,870 [INFO]  103 0, how
2025-02-27 20:35:23,886 [INFO]  103 0, how
2025-02-27 20:35:24,902 [INFO]  103 0, how
2025-02-27 20:35:25,920 [INFO]  103 0, how
2025-02-27 20:35:26,935 [INFO]  103 0, how
2025-02-27 20:35:27,952 [INFO]  103 0, how
2025-02-27 20:35:28,968 [INFO]  103 0, how
2025-02-27 20:35:29,985 [INFO]  103 0, how
2025-02-27 20:35:30,998 [INFO]  103 0, how
2025-02-27 20:35:32,013 [INFO]  103 0, how
2025-02-27 20:35:33,029 [INFO]  103 0, how
2025-02-27 20:35:34,043 [INFO]  103 0, how
2025-02-27 20:35:35,058 [INFO]  103 0, how
2025-02-27 20:35:36,077 [INFO]  103 0, how
2025-02-27 20:35:37,099 [INFO]  103 0, how
2025-02-27 20:35:38,114 [INFO]  103 0, how
2025-02-27 20:35:39,131 [INFO]  103 0, how
2025-02-27 20:35:40,148 [INFO]  103 0, how
2025-02-27 20:35:41,165 [INFO]  103 0, how
2025-02-27 20:35:42,179 [INFO]  103 0, how
2025-02-27 20:35:43,192 [INFO]  103 0, how
2025-02-27 20:35:44,210 [INFO]  103 0, how
2025-02-27 20:35:45,221 [INFO]  103 0, how
2025-02-27 20:35:46,236 [INFO]  103 0, how
2025-02-27 20:35:47,253 [INFO]  103 0, how
2025-02-27 20:35:48,268 [INFO]  103 0, how
2025-02-27 20:35:49,284 [INFO]  103 0, how
2025-02-27 20:35:50,299 [INFO]  103 0, how
2025-02-27 20:35:51,316 [INFO]  103 0, how
2025-02-27 20:35:52,333 [INFO]  103 0, how
2025-02-27 20:35:53,345 [INFO]  103 0, how
2025-02-27 20:35:54,362 [INFO]  103 0, how
2025-02-27 20:35:55,377 [INFO]  103 0, how
2025-02-27 20:35:56,395 [INFO]  103 0, how
2025-02-27 20:35:57,409 [INFO]  103 0, how
2025-02-27 20:35:58,431 [INFO]  103 0, how
2025-02-27 20:35:59,447 [INFO]  103 0, how
2025-02-27 20:36:00,464 [INFO]  103 0, how
2025-02-27 20:36:01,478 [INFO]  103 0, how
2025-02-27 20:36:02,492 [INFO]  103 0, how
2025-02-27 20:36:03,506 [INFO]  103 0, how
2025-02-27 20:36:04,523 [INFO]  103 0, how
2025-02-27 20:36:05,541 [INFO]  103 0, how
2025-02-27 20:36:06,558 [INFO]  103 0, how
2025-02-27 20:36:07,573 [INFO]  103 0, how
2025-02-27 20:36:08,591 [INFO]  103 0, how
2025-02-27 20:36:09,614 [INFO]  103 0, how
2025-02-27 20:36:10,636 [INFO]  103 0, how
2025-02-27 20:36:11,654 [INFO]  103 0, how
2025-02-27 20:36:12,670 [INFO]  103 0, how
2025-02-27 20:36:13,686 [INFO]  103 0, how
2025-02-27 20:36:50,347 [INFO]  17 Приложение запущено
2025-02-27 20:36:50,694 [INFO]  145 файл успешно прочитан
2025-02-27 20:36:50,694 [INFO]  60 100.
2025-02-27 20:36:51,696 [INFO]  104 0, how
2025-02-27 20:36:52,714 [INFO]  104 0, how
2025-02-27 20:36:53,728 [INFO]  104 0, how
2025-02-27 20:36:54,742 [INFO]  104 0, how
2025-02-27 20:36:55,757 [INFO]  104 0, how
2025-02-27 20:36:56,774 [INFO]  104 0, how
2025-02-27 20:44:58,042 [INFO]  17 Приложение запущено
2025-02-27 20:44:58,716 [INFO]  145 файл успешно прочитан
2025-02-27 20:44:59,722 [INFO]  100 100
2025-02-27 20:44:59,722 [INFO]  104 0, how
2025-02-27 20:45:00,739 [INFO]  100 0
2025-02-27 20:45:00,739 [INFO]  104 0, how
2025-02-27 20:45:01,754 [INFO]  100 0
2025-02-27 20:45:01,754 [INFO]  104 0, how
2025-02-27 20:45:02,766 [INFO]  100 0
2025-02-27 20:45:02,766 [INFO]  104 0, how
2025-02-27 20:45:03,781 [INFO]  100 0
2025-02-27 20:45:03,781 [INFO]  104 0, how
2025-02-27 20:45:04,798 [INFO]  100 0
2025-02-27 20:45:04,798 [INFO]  104 0, how
2025-02-27 20:45:05,816 [INFO]  100 0
2025-02-27 20:45:05,816 [INFO]  104 0, how
2025-02-27 20:45:06,834 [INFO]  100 0
2025-02-27 20:45:06,834 [INFO]  104 0, how
2025-02-27 20:45:07,851 [INFO]  100 0
2025-02-27 20:45:07,851 [INFO]  104 0, how
2025-02-27 20:45:08,868 [INFO]  100 0
2025-02-27 20:45:08,868 [INFO]  104 0, how
2025-02-27 20:45:09,880 [INFO]  100 0
2025-02-27 20:45:09,880 [INFO]  104 0, how
2025-02-27 20:45:10,898 [INFO]  100 0
2025-02-27 20:45:10,898 [INFO]  104 0, how
2025-02-27 20:45:11,915 [INFO]  100 0
2025-02-27 20:45:11,916 [INFO]  104 0, how
2025-02-27 20:45:12,933 [INFO]  100 0
2025-02-27 20:45:12,933 [INFO]  104 0, how
2025-02-27 20:45:13,951 [INFO]  100 0
2025-02-27 20:45:13,951 [INFO]  104 0, how
2025-02-27 20:45:14,970 [INFO]  100 0
2025-02-27 20:45:14,970 [INFO]  104 0, how
2025-02-27 20:48:08,364 [INFO]  17 Приложение запущено
2025-02-27 20:48:09,022 [INFO]  146 файл успешно прочитан
2025-02-27 20:48:09,023 [INFO]  59 100
2025-02-27 20:48:09,025 [INFO]  84 100
2025-02-27 20:48:09,033 [INFO]  84 100
2025-02-27 20:48:09,043 [INFO]  84 100
2025-02-27 20:48:09,053 [INFO]  84 100
2025-02-27 20:48:09,063 [INFO]  84 100
2025-02-27 20:48:09,073 [INFO]  84 100
2025-02-27 20:48:09,083 [INFO]  84 100
2025-02-27 20:48:09,093 [INFO]  84 100
2025-02-27 20:48:09,103 [INFO]  84 100
2025-02-27 20:48:09,113 [INFO]  84 100
2025-02-27 20:48:09,123 [INFO]  84 100
2025-02-27 20:48:09,132 [INFO]  84 100
